,Model,Time,Epochs,Iteration,#Training_samples,F1,Precision,Recall,AUC
0,sif_diff,2.3401726285616555,15,0,6416,0.9054117647058825,0.8833792470156107,0.9285714285714286,0.9653384766712055
1,rnn,18.39214882850647,15,0,6416,0.9437229437229437,0.9405560882070949,0.946911196911197,0.9793613066505178
2,attention,39.69914475679398,15,0,6416,0.946124763705104,0.9268518518518518,0.9662162162162162,0.9782827283960558
3,hybrid,82.99524924755096,15,0,6416,0.9530201342281879,0.9466666666666667,0.9594594594594594,0.9863385921862803
