,Matcher,Average precision,Average recall,Average f1
0,DecisionTree,0.874217286283104,0.8527138798464138,0.8632358149771875
1,RF,0.9163459889949103,0.897656165028844,0.9066684596836145
2,SVM,0.8535882209286891,0.7468112200782958,0.7959851945101384
3,LinReg,0.8356704556000614,0.8372473335213539,0.8361932619359547
4,LogReg,0.8321984764370258,0.8321816581514734,0.8318764314582203
