,Model,Time,Epochs,Iteration,#Training_samples,F1,Precision,Recall,AUC
0,sif_diff,52.18965721527736,15,0,77422,0.8784445581463344,0.8320409858764886,0.9303297724105899,0.871053628543723
1,rnn,61.19919258753459,15,0,77422,0.8270145225549416,0.7069098099527629,0.9962842545285648,0.7911439117316578
2,attention,69.70853022336959,15,0,77422,0.896926259790158,0.8578798586572438,0.9396965474531661,0.8918360152115702
3,hybrid,82.52030787467956,15,0,77422,0.9135246670418309,0.8862924947222829,0.9424833565567425,0.9106473730568646
