,Model,Time,Epochs,Iteration,#Training_samples,F1,Precision,Recall,AUC
0,sif_diff,107.81922992070515,15,0,74740,0.972609190440686,0.9856438399745486,0.9599147947327653,0.9684620464556707
1,rnn,123.38704994122187,15,0,74740,0.9914546401496885,0.9876253795011721,0.9953137103020914,0.9874033842556182
2,attention,96.96190269788106,15,0,74740,0.9558412520961432,0.9210053859964094,0.993415956622773,0.9266532082184048
3,hybrid,119.23495826721191,15,0,74740,0.9918997815454211,0.990234299610144,0.9935708752904725,0.9887291390845434
