,Matcher,Average precision,Average recall,Average f1
0,DecisionTree,0.6301891905230609,0.5540495854447005,0.5896211933027039
1,RF,0.6548788914880025,0.6641407498191897,0.6594497728815338
2,SVM,0.6734283789362221,0.9185241617445404,0.7770939024285671
3,LinReg,0.6815520295163773,0.8999150567026526,0.7756432048297117
4,LogReg,0.6894700636295197,0.8422172653737716,0.7581952380268475
