Column1;Model;Time;Epochs;Iteration;#Training_samples;F1;Precision;Recall;AUC
0;TransOnCora;6,04925E+15;15;15;76376;5,69155E+15;8,52446E+14;4,27188E+15;5,11455E+15
1;TransOnCora;6,04925E+15;15;15;76376;5,69155E+15;8,52446E+14;4,27188E+15;5,11455E+15
