,Iteration,#Training_samples,F1,Precision,Recall,AUC,Epochs,Model,Time
0,0,200,0.8708503363846918,0.9001367989056087,0.8434095278786584,0.9522333923433955,15.0,activeDS,4.893438935279846
1,0,240,0.8934186273446817,0.9027169149868537,0.884309937754883,0.9564041515369922,15.0,activeDS,5.146528879801433
2,0,280,0.9177791905064633,0.9019158683881716,0.9342105263157895,0.9610183195542777,15.0,activeDS,5.55001471042633
3,0,320,0.9159377000213357,0.9026492851135408,0.929623213512343,0.9687380200641298,15.0,activeDS,5.8894092837969465
4,0,360,0.9169335895793296,0.900398406374502,0.9340874483358712,0.9663238574731465,15.0,activeDS,6.366461129983266
5,0,400,0.9163938004802444,0.9157940663176265,0.9169943206640454,0.971147639107595,15.0,activeDS,6.515451924006144
6,0,440,0.9175742045697204,0.894276795005203,0.9421179565884674,0.9631454351947542,15.0,activeDS,6.970659498373667
7,0,480,0.9188605955977557,0.901354784081287,0.9370598591549296,0.9669039819878792,15.0,activeDS,7.151169033845266
8,0,520,0.9309703533530248,0.9223932365055278,0.939708480565371,0.9675260881224159,15.0,activeDS,7.51914857228597
9,0,560,0.9257496956954743,0.9240114866357411,0.9274944567627494,0.9700960635941089,15.0,activeDS,7.770364590485891
10,0,600,0.9278143478745956,0.9302013422818792,0.9254395726685956,0.9714606779628214,15.0,activeDS,8.448791897296905
11,0,640,0.9326666666666666,0.9266946345771694,0.938716170878998,0.9650254938440767,15.0,activeDS,8.548031334082285
12,0,680,0.9307218802462227,0.9272970561998216,0.9341720961581667,0.9687761105854179,15.0,activeDS,8.857463932037353
13,0,720,0.9359803702877537,0.9246364037020715,0.947606142728094,0.96568995878811,15.0,activeDS,10.057540456453959
14,0,760,0.9379914625926756,0.9286032028469751,0.9475714934180662,0.9703153951661995,15.0,activeDS,10.42586073478063
15,0,800,0.9396396396396396,0.9279359430604982,0.9516423357664233,0.9701744625105021,15.0,activeDS,10.33729663292567
16,0,840,0.9415336181695526,0.9234671371857079,0.9603211009174312,0.9734448795986418,15.0,activeDS,11.503598701953887
17,0,880,0.9401974925108176,0.9072805139186295,0.9755929081280221,0.9641897707797938,15.0,activeDS,11.637878958384196
18,0,920,0.9447558046437149,0.9350237717908082,0.9546925566343042,0.9691356128339936,15.0,activeDS,11.845860894521078
19,0,960,0.94345137717819,0.914161220043573,0.9746806039488967,0.973617655359674,15.0,activeDS,11.891530179977417
20,0,1000,0.9418420457116994,0.9151275285839929,0.9701631701631701,0.9757319786731551,15.0,activeDS,12.111516114075979
