,Iteration,#Training_samples,F1,Precision,Recall,AUC,Epochs,Model,Time
0,0,0,0.7440944881889764,0.7022462421888195,0.7912464319695528,0.8474057427956201,15.0,TransActOnDS,8.361885293324788
1,0,80,0.7588688946015424,0.7510685935273763,0.7668329177057357,0.8893751737617486,15.0,TransActOnDS,0.4284453352292379
2,0,120,0.8036665956086123,0.8217088055797733,0.7863996662494785,0.9263514105072654,15.0,TransActOnDS,0.46098212401072186
3,0,160,0.8342448934032816,0.8929510155316607,0.7827817343946376,0.9422285614877194,15.0,TransActOnDS,0.4936991771062215
4,0,200,0.8560145808019441,0.8246195864221615,0.8898947368421053,0.946930768313763,15.0,TransActOnDS,0.5128105163574219
5,0,240,0.8451726413019572,0.8800091596061369,0.8129892109160144,0.9450529340474362,15.0,TransActOnDS,0.52329896291097
6,0,280,0.8611366187123763,0.8281004709576139,0.8969181721572795,0.9507326940204759,15.0,TransActOnDS,0.5737105011940002
7,0,320,0.8607350096711799,0.8672585534863577,0.8543088737201365,0.9476831444573592,15.0,TransActOnDS,0.5862528165181478
8,0,360,0.872659563463329,0.8434313137372526,0.9039862837548222,0.9508594551041022,15.0,TransActOnDS,0.6130216836929321
9,0,400,0.8720819689447553,0.8569649159227735,0.8877419354838709,0.9555038199526907,15.0,TransActOnDS,0.6313469926516215
10,0,440,0.8752424046541692,0.8737362873736287,0.8767537232894452,0.9534057569437671,15.0,TransActOnDS,0.6475953261057535
11,0,480,0.8831524602254768,0.8591635916359164,0.9085194016908736,0.958799085639414,15.0,TransActOnDS,0.6643151919047038
12,0,520,0.8838850264605168,0.8443695479777954,0.9272806444589593,0.9612197394818379,15.0,TransActOnDS,0.6976138154665629
13,0,560,0.8798228969006958,0.8505911129229515,0.9111353711790393,0.9561658988429281,15.0,TransActOnDS,0.7301016410191854
14,0,600,0.8920442228484717,0.8824790907141326,0.9018189787420556,0.9627846423766167,15.0,TransActOnDS,0.7484940846761068
15,0,640,0.8919913419913419,0.8777422790202343,0.9067106710671067,0.9617438958715024,15.0,TransActOnDS,0.7746364553769429
16,0,680,0.8958425475453341,0.896437264881611,0.8952486187845304,0.9641078877566173,15.0,TransActOnDS,0.8073219259579977
17,0,720,0.8914078440262979,0.9106067623899954,0.8730017761989343,0.9678901032497378,15.0,TransActOnDS,0.8150619586308797
18,0,760,0.8917853231106244,0.8764262648008612,0.9076923076923077,0.9642895928764369,15.0,TransActOnDS,0.8523482958475749
19,0,800,0.9065379552435278,0.8880292284547604,0.9258346403764284,0.9715966096324914,15.0,TransActOnDS,0.8748753190040588
20,0,840,0.9047141424272818,0.8970165745856353,0.9125449640287769,0.9688063721636428,15.0,TransActOnDS,0.9134509404500325
21,0,880,0.8942625755674688,0.9040590405904059,0.8846761453396524,0.9630941463808971,15.0,TransActOnDS,0.930575700600942
22,0,920,0.8984312378335052,0.9083121092845566,0.8887630267331219,0.9595184178539162,15.0,TransActOnDS,0.9518394708633423
23,0,960,0.8895144264602393,0.9181598062953995,0.8626023657870792,0.9609620634668563,15.0,TransActOnDS,0.9682559887568156
24,0,1000,0.901783646050498,0.9138497652582159,0.8900320073159579,0.9703538433569668,15.0,TransActOnDS,0.9939000646273295
25,0,1040,0.8943845717526943,0.8836583725622058,0.9053743683968765,0.9646947037623493,15.0,TransActOnDS,1.0226056019465128
