,Iteration,#Training_samples,F1,Precision,Recall,AUC,Epochs,Model,Time
0,0,0,0.8686040250649645,0.8711123980653946,0.866110056335398,0.8058048833184382,15.0,TransActOnCora,70.4082337141037
1,0,80,0.8335110490127587,0.7867083116432414,0.8862348019860041,0.7762301260729378,15.0,TransActOnCora,0.5884661793708801
2,0,120,0.8467540761140714,0.864859355890746,0.8293912975487705,0.8335369815028186,15.0,TransActOnCora,0.6415202140808105
3,0,160,0.8730075385365487,0.8389015028651746,0.9100043004026741,0.8702688718751195,15.0,TransActOnCora,0.6634743014971415
4,0,200,0.8997253766792845,0.8562850987179035,0.9478087493647133,0.9079633855990239,15.0,TransActOnCora,0.7106418609619141
5,0,240,0.9037894127856523,0.8918024052367179,0.9161030532858986,0.9248505098578492,15.0,TransActOnCora,0.7366062482198079
6,0,280,0.901237396883593,0.8808839449027586,0.9225536572970015,0.917839055760695,15.0,TransActOnCora,0.7729596495628357
7,0,320,0.9025649138766388,0.9132383544101168,0.8921380820204073,0.9258844063476571,15.0,TransActOnCora,0.8117462197939554
8,0,360,0.9140786749482402,0.8967839006958811,0.9320536377497166,0.9180452805831054,15.0,TransActOnCora,0.8304778575897217
9,0,400,0.9213434791964163,0.922010805731736,0.920677117948317,0.9341959350852371,15.0,TransActOnCora,0.854862101872762
10,0,440,0.9324272144567148,0.9210817408551704,0.9440556706673443,0.9453962919916914,15.0,TransActOnCora,0.9102833708127339
