,Iteration,#Training_samples,F1,Precision,Recall,AUC,Epochs,Model,Time
0,0,200,0.8702981772205247,0.8597002497918401,0.8811606571367613,0.9282918878249496,15.0,activeDS_rand,4.812263154983521
1,0,240,0.8717373572593801,0.8328462887200467,0.9144385026737968,0.9052075098814228,15.0,activeDS_rand,5.105813562870026
2,0,280,0.8850281042411856,0.8447132266874756,0.9293839879802532,0.9397066011961199,15.0,activeDS_rand,5.418974332014719
3,0,320,0.8839044652128764,0.8529058116232465,0.9172413793103448,0.9363471098538768,15.0,activeDS_rand,5.672407352924347
4,0,360,0.8869913556820578,0.8654597819378729,0.9096216216216216,0.9460860428956874,15.0,activeDS_rand,6.093074282010396
5,0,400,0.8916588760776981,0.8548097988448516,0.9318280503690838,0.9499888910707257,15.0,activeDS_rand,6.558219850063324
6,0,440,0.9025210084033614,0.8712228756844453,0.936151667029854,0.9526102301418733,15.0,activeDS_rand,6.83059606552124
7,0,480,0.89943032427695,0.901009657594381,0.8978565179352581,0.9501915015539688,15.0,activeDS_rand,7.0370867927869165
8,0,520,0.905319720580333,0.8871103622577927,0.924292297564187,0.954468155181372,15.0,activeDS_rand,7.5134749492009485
9,0,560,0.9020426092686141,0.8994743758212878,0.904625550660793,0.9492470144324213,15.0,activeDS_rand,7.873011648654938
10,0,600,0.9048176114006168,0.8720787207872078,0.940110497237569,0.9552774701759217,15.0,activeDS_rand,8.180837555726368
11,0,640,0.90625,0.8642770841723721,0.9525077674212161,0.9577623243437245,15.0,activeDS_rand,8.607269354661305
12,0,680,0.9051623203831825,0.867047308319739,0.9467824537964818,0.9491333168300811,15.0,activeDS_rand,9.155647142728169
13,0,720,0.9077523703290575,0.9056309815268195,0.9098837209302325,0.9586129197224743,15.0,activeDS_rand,9.10329833428065
14,0,760,0.9125491910800175,0.890358361774744,0.9358744394618834,0.9586403581520162,15.0,activeDS_rand,9.678152676423391
15,0,800,0.904049295774648,0.8843918191603876,0.9246004951609273,0.9527562057801413,15.0,activeDS_rand,10.029118565718333
16,0,840,0.9066550484696656,0.8751051303616485,0.9405649717514124,0.9597706790935399,15.0,activeDS_rand,10.41335529088974
17,0,880,0.9059362723701441,0.8733431516936672,0.9410564497846293,0.9524063496464786,15.0,activeDS_rand,10.930253406365713
18,0,920,0.9145662847790508,0.8784321945084888,0.9538006372325899,0.9532541427699358,15.0,activeDS_rand,11.730293226242065
19,0,960,0.913352588313708,0.8890570934256056,0.9390132480584742,0.9634274950332465,15.0,activeDS_rand,11.26871178150177
20,0,1000,0.9201972651871778,0.9016033384581594,0.9395742732890822,0.967593777024591,15.0,activeDS_rand,12.083191057046255
